prestador,sede_nombre anterior,sede_nombre actual,email,direccion,telefono,naju_nombre,grse_nombre,Especialidades
Clinica Colsanitas S.A.,CENTRO MÉDICO COLSANITAS ILARCO,Centro Médico Colsanitas Ilarco,sfiguero@colsanitas.com,TV 60 # 115 - 58 TO B OF 304 A LA 317 y TO C LC 103 y 104,6 247240,Privada,Consulta Externa,363 -CIRUGÍA de MANO
Clinica Colsanitas S.A.,CENTRO MÉDICO COLSANITAS ILARCO,Centro Médico Colsanitas Ilarco,sfiguero@colsanitas.com,TV 60 # 115 - 58 TO B OF 304 A LA 317 y TO C LC 103 y 104,6 247240,Privada,Consulta Externa,372 -CIRUGÍA VASCULAR
Clinica Colsanitas S.A.,CENTRO MÉDICO COLSANITAS ILARCO,Centro Médico Colsanitas Ilarco,sfiguero@colsanitas.com,TV 60 # 115 - 58 TO B OF 304 A LA 317 y TO C LC 103 y 104,6 247240,Privada,Consulta Externa,377 -COLOPROCTOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,301 -ANESTESIA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,304 -CIRUGÍA GENERAL
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,308 -deRMATOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,310 -ENDOCRINOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,311 -ENDODONCIA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,320 -GINECOBSTETRICIA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,325 -MEDICINA FAMILIAR
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,329 -MEDICINA INTERNA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,332 -NEUROLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,338 -ORTODONCIA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,339 -ORTOPEDIA y/O TRAUMATOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,340 -OTORRINOLARINGOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,343 -PERIODONCIA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,347 -REHABILITACIÓN ORAL
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,355 -UROLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,356 -OTRAS CONSULTAS de ESPECIALIDAD - NO ONCOLÓGICO
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,362 -CIRUGÍA de CABEZA y CUELLO
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,364 -CIRUGÍA de MAMA y TUMORES TEJIDOS BLANDOS - NO ONCOLÓGICO
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,396 -ODONTOPEDIATRÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,400 -MEDICINAS ALTERNATIVAS - MEDICINA TRADICIONAL CHINA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS LA CALLEJA,Centro Médico Colsanitas La Calleja,sfiguero@colsanitas.com,CALLE 127 NO 20 - 16 EDIFICIO PLUSS 127 PROPIEDAD HORIZONTAL PISO 6,7436767,Privada,Consulta Externa,411 -CIRUGÍA MAXILOFACIAL
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,302 -CARDIOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,308 -deRMATOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,310 -ENDOCRINOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,311 -ENDODONCIA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,316 -GASTROENTEROLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,320 -GINECOBSTETRICIA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,321 -HEMATOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,325 -MEDICINA FAMILIAR
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,326 -MEDICINA FÍSICA y deL dePORTE
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,327 -MEDICINA FÍSICA y REHABILITACIÓN
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,329 -MEDICINA INTERNA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,331 -NEUMOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,338 -ORTODONCIA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,339 -ORTOPEDIA y/O TRAUMATOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,340 -OTORRINOLARINGOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,342 -PEDIATRÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,343 -PERIODONCIA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,347 -REHABILITACIÓN ORAL
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,355 -UROLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,359 -CONSULTA PRIORITARIA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,396 -ODONTOPEDIATRÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SALITRE,Centro Médico Colsanitas Salitre,sfiguero@colsanitas.com,CR 68A 24B 10 TR 2 PISO 4,6466060,Privada,Consulta Externa,411 -CIRUGÍA MAXILOFACIAL
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,302 -CARDIOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,308 -deRMATOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,310 -ENDOCRINOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,311 -ENDODONCIA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,316 -GASTROENTEROLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,320 -GINECOBSTETRICIA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,321 -HEMATOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,325 -MEDICINA FAMILIAR
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,326 -MEDICINA FÍSICA y deL dePORTE
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,329 -MEDICINA INTERNA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,330 -NEFROLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,331 -NEUMOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,332 -NEUROLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,338 -ORTODONCIA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,339 -ORTOPEDIA y/O TRAUMATOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,340 -OTORRINOLARINGOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,342 -PEDIATRÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,343 -PERIODONCIA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,347 -REHABILITACIÓN ORAL
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,348 -REUMATOLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,355 -UROLOGÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,363 -CIRUGÍA de MANO
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,369 -CIRUGÍA PLÁSTICA y ESTÉTICA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,386 -NEUMOLOGÍA PEDIÁTRICA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,396 -ODONTOPEDIATRÍA
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,410 -CIRUGÍA ORAL
Clinica Colsanitas S.A.,CENTRO MEDICO COLSANITAS SANTA ANA,Centro Médico Colsanitas Santa Ana,sfiguero@colsanitas.com,ED TO EMPRESARIAL PACIFIC - CL 110 NO. 9 - 25,6466060 EXT 5711495,Privada,Consulta Externa,411 -CIRUGÍA MAXILOFACIAL
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO CALLE 26,Centro Médico Colsubsidio Calle 26,diana.sanabria@colsubsidio.com,CL 26 # 24 - 52 PI 2 y 3,7459060,Privada,Consulta Externa,320 -GINECOBSTETRICIA
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO CALLE 26,Centro Médico Colsubsidio Calle 26,diana.sanabria@colsubsidio.com,CL 26 # 24 - 52 PI 2 y 3,7459060,Privada,Consulta Externa,325 -MEDICINA FAMILIAR
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO CALLE 26,Centro Médico Colsubsidio Calle 26,diana.sanabria@colsubsidio.com,CL 26 # 24 - 52 PI 2 y 3,7459060,Privada,Consulta Externa,339 -ORTOPEDIA y/O TRAUMATOLOGÍA
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO CALLE 26,Centro Médico Colsubsidio Calle 26,diana.sanabria@colsubsidio.com,CL 26 # 24 - 52 PI 2 y 3,7459060,Privada,Consulta Externa,342 -PEDIATRÍA
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO CALLE 63,Centro Médico Colsubsidio Calle 63,diana.sanabria@colsubsidio.com,CRA 24 # 62 50,7565500,Privada,Consulta Externa,302 -CARDIOLOGÍA
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO CALLE 63,Centro Médico Colsubsidio Calle 63,diana.sanabria@colsubsidio.com,CRA 24 # 62 50,7565500,Privada,Consulta Externa,310 -ENDOCRINOLOGÍA
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO CALLE 63,Centro Médico Colsubsidio Calle 63,diana.sanabria@colsubsidio.com,CRA 24 # 62 50,7565500,Privada,Consulta Externa,316 -GASTROENTEROLOGÍA
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO CALLE 63,Centro Médico Colsubsidio Calle 63,diana.sanabria@colsubsidio.com,CRA 24 # 62 50,7565500,Privada,Consulta Externa,320 -GINECOBSTETRICIA
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO CALLE 63,Centro Médico Colsubsidio Calle 63,diana.sanabria@colsubsidio.com,CRA 24 # 62 50,7565500,Privada,Consulta Externa,327 -MEDICINA FÍSICA y REHABILITACIÓN
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO CALLE 63,Centro Médico Colsubsidio Calle 63,diana.sanabria@colsubsidio.com,CRA 24 # 62 50,7565500,Privada,Consulta Externa,329 -MEDICINA INTERNA
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO CALLE 63,Centro Médico Colsubsidio Calle 63,diana.sanabria@colsubsidio.com,CRA 24 # 62 50,7565500,Privada,Consulta Externa,330 -NEFROLOGÍA
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO CALLE 63,Centro Médico Colsubsidio Calle 63,diana.sanabria@colsubsidio.com,CRA 24 # 62 50,7565500,Privada,Consulta Externa,332 -NEUROLOGÍA
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO CALLE 63,Centro Médico Colsubsidio Calle 63,diana.sanabria@colsubsidio.com,CRA 24 # 62 50,7565500,Privada,Consulta Externa,345 -PSIQUIATRÍA
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO CALLE 63,Centro Médico Colsubsidio Calle 63,diana.sanabria@colsubsidio.com,CRA 24 # 62 50,7565500,Privada,Consulta Externa,387 -NEUROCIRUGÍA
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO CALLE 63,Centro Médico Colsubsidio Calle 63,diana.sanabria@colsubsidio.com,CRA 24 # 62 50,7565500,Privada,Consulta Externa,407 -MEDICINA deL TRABAJO y MEDICINA LABORAL
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MÉDICO COLSUBSIDIO PLAZA CENTRAL,Centro Médico Colsubsidio Plaza Central,diana.sanabria@colsubsidio.com,KR 65 # 11-50 PI 2 LC 2-41,7420100,Privada,Consulta Externa,320 -GINECOBSTETRICIA
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MÉDICO COLSUBSIDIO PLAZA CENTRAL,Centro Médico Colsubsidio Plaza Central,diana.sanabria@colsubsidio.com,KR 65 # 11-50 PI 2 LC 2-41,7420100,Privada,Consulta Externa,325 -MEDICINA FAMILIAR
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MÉDICO COLSUBSIDIO PLAZA CENTRAL,Centro Médico Colsubsidio Plaza Central,diana.sanabria@colsubsidio.com,KR 65 # 11-50 PI 2 LC 2-41,7420100,Privada,Consulta Externa,342 -PEDIATRÍA
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO PORTAL DEL NORTE,Centro Médico Colsubsidio Portal del Norte,diana.sanabria@colsubsidio.com,AK 45 # 176 31 PI 2,7452078 /79-80-84-85,Privada,Consulta Externa,304 -CIRUGÍA GENERAL
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO PORTAL DEL NORTE,Centro Médico Colsubsidio Portal del Norte,diana.sanabria@colsubsidio.com,AK 45 # 176 31 PI 2,7452078 /79-80-84-85,Privada,Consulta Externa,308 -deRMATOLOGÍA
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO PORTAL DEL NORTE,Centro Médico Colsubsidio Portal del Norte,diana.sanabria@colsubsidio.com,AK 45 # 176 31 PI 2,7452078 /79-80-84-85,Privada,Consulta Externa,320 -GINECOBSTETRICIA
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO PORTAL DEL NORTE,Centro Médico Colsubsidio Portal del Norte,diana.sanabria@colsubsidio.com,AK 45 # 176 31 PI 2,7452078 /79-80-84-85,Privada,Consulta Externa,325 -MEDICINA FAMILIAR
Caja Colombiana De Subsidio Familiar Colsubsidio,CENTRO MEDICO COLSUBSIDIO PORTAL DEL NORTE,Centro Médico Colsubsidio Portal del Norte,diana.sanabria@colsubsidio.com,AK 45 # 176 31 PI 2,7452078 /79-80-84-85,Privada,Consulta Externa,355 -UROLOGÍA
